word,type
bat,target_animal
beaver,target_animal
boar,target_animal
cheetah,target_animal
crow,target_animal
deer,target_animal
dolphin,target_animal
elephant,target_animal
flamingo,target_animal
giraffe,target_animal
goat,target_animal
gorilla,target_animal
grizzly,target_animal
hippo,target_animal
killerwhale,target_animal
lion,target_animal
llama,target_animal
mammoth,target_animal
panda,target_animal
panther,target_animal
pig,target_animal
pigeon,target_animal
polarbear,target_animal
rhino,target_animal
shark,target_animal
sheep,target_animal
skunk,target_animal
sloth,target_animal
swan,target_animal
zebra,target_animal
goldfish,texture_animal
snake,texture_animal
crocodile,texture_animal
lizard,texture_animal
eel,texture_animal
shark,texture_animal
turtle,texture_animal
toad,texture_animal
dolphin,texture_animal
frog,texture_animal
worm,texture_animal
elephant,texture_animal
hippo,texture_animal
rhino,texture_animal
pig,texture_animal
platypus,texture_animal
seal,texture_animal
ferret,texture_animal
gorilla,texture_animal
sheep,texture_animal
fox,texture_animal
bear,texture_animal
horse,texture_animal
donkey,texture_animal
cat,texture_animal
penguin,texture_animal
ostrich,texture_animal
flamingo,texture_animal
peacock,texture_animal
pigeon,texture_animal
fur,texture_word
scales,texture_word
skin,texture_word
feathers,texture_word
animals,texture_word
animal,texture_word
feather,texture_word
scale,texture_word
