knowledge_source_1,knowledge_source_2,knowledge_type,entangle_original,entangle_step2side,entangle_random,FM_5,FM_10,FM_15,FM_20,E_FM_5,E_FM_10,E_FM_15,E_FM_20,V_FM_5,V_FM_10,V_FM_15,V_FM_20,Z_FM_5,Z_FM_10,Z_FM_15,Z_FM_20,rand_5,rand_10,rand_15,rand_20,adjustedRand_5,adjustedRand_10,adjustedRand_15,adjustedRand_20,jaccard_5,jaccard_10,jaccard_15,jaccard_20
sighted,language,texture,0.579,0.22,0.27,0.29405129724851387,0.148969892882781,0.13245323570650439,0.07692307692307693,0.35962135663496403,0.10802151838593775,0.052067823691522415,0.029885057471264367,0.0031393897713771213,0.0018589131816138995,0.002067811003706033,0.0021697503285356573,-1.1702616076824872,0.9497452124300535,1.7677539691745947,1.0098204141217724,0.49195402298850577,0.8160919540229885,0.9080459770114943,0.9448275862068966,-0.10232654137666128,0.04589570653067964,0.08343868520859739,0.04848705796573143,0.17228464419475656,0.08045977011494253,0.06976744186046512,0.04
sighted,blind,texture,0.282,0.057,0.102,0.7857458001590873,0.5112373581455452,0.48154341234307685,0.5012804118276031,0.31304909481469795,0.10342272992369649,0.05728706112357292,0.032101701250043545,0.0026258835149329113,0.0018494862634861626,0.0020470978401208695,0.002153627409275447,9.224542730164496,9.482814273628993,9.376894990867678,10.110043226028314,0.8620689655172413,0.8988505747126436,0.9402298850574713,0.967816091954023,0.6821027502375094,0.4547319241068883,0.4485078993563491,0.4834605597964381,0.6407185628742516,0.34328358208955223,0.3157894736842105,0.3333333333333333
language,sighted,texture,0.579,0.242,0.3,0.29405129724851387,0.148969892882781,0.13245323570650439,0.07692307692307693,0.35962135663496403,0.10802151838593775,0.052067823691522415,0.029885057471264367,0.0031393897713771213,0.0018589131816138995,0.002067811003706033,0.0021697503285356573,-1.1702616076824872,0.9497452124300535,1.7677539691745947,1.0098204141217724,0.49195402298850577,0.8160919540229885,0.9080459770114943,0.9448275862068966,-0.10232654137666128,0.04589570653067964,0.08343868520859739,0.04848705796573143,0.17228464419475656,0.08045977011494253,0.06976744186046512,0.04
language,blind,texture,0.521,0.189,0.329,0.2568677889338256,0.10879853497231115,0.09567297464698797,0.0716114874039433,0.32218372351457225,0.10564712913173387,0.048056425196245686,0.032101701250043545,0.0022555012513299916,0.0018384131979058659,0.00209848464987683,0.002153627409275447,-1.3753005263285192,0.07349922690108654,1.0394533961666237,0.8513720611392265,0.5149425287356322,0.8114942528735632,0.9126436781609195,0.9402298850574713,-0.09501198983548272,0.003519946362722201,0.0497815589790765,0.04071246819338506,0.145748987854251,0.05747126436781609,0.05,0.037037037037037035
blind,sighted,texture,0.282,0.047,0.117,0.7857458001590873,0.5112373581455452,0.48154341234307685,0.5012804118276031,0.31304909481469795,0.10342272992369649,0.05728706112357292,0.032101701250043545,0.0026258835149329113,0.0018494862634861626,0.0020470978401208695,0.002153627409275447,9.224542730164496,9.482814273628993,9.376894990867678,10.110043226028314,0.8620689655172413,0.8988505747126436,0.9402298850574713,0.967816091954023,0.6821027502375094,0.4547319241068883,0.4485078993563491,0.4834605597964381,0.6407185628742516,0.34328358208955223,0.3157894736842105,0.3333333333333333
blind,language,texture,0.521,0.189,0.288,0.2568677889338256,0.10879853497231115,0.09567297464698797,0.0716114874039433,0.32218372351457225,0.10564712913173387,0.048056425196245686,0.032101701250043545,0.0022555012513299916,0.0018384131979058659,0.00209848464987683,0.002153627409275447,-1.3753005263285192,0.07349922690108654,1.0394533961666237,0.8513720611392265,0.5149425287356322,0.8114942528735632,0.9126436781609195,0.9402298850574713,-0.09501198983548272,0.003519946362722201,0.0497815589790765,0.04071246819338506,0.145748987854251,0.05747126436781609,0.05,0.037037037037037035
sighted,language,shape,0.738,0.107,0.182,0.43093841623328094,0.22473328748774737,0.17660431427533918,0.0716114874039433,0.2667261130727553,0.10229239292545741,0.052067823691522415,0.032101701250043545,0.0018198885034374501,0.0017714258261226148,0.001990137040167984,0.002153627409275447,3.84931366637532,2.9091425860398528,2.791612484011085,0.8513720611392265,0.6942528735632184,0.8367816091954023,0.9126436781609195,0.9402298850574713,0.22270290604721144,0.13305263157894712,0.12926675094816753,0.04071246819338506,0.273224043715847,0.12345679012345678,0.09523809523809523,0.037037037037037035
sighted,blind,shape,0.86,0.023,0.068,0.6177185417167856,0.5400617248673216,0.6508140266182866,0.6153846153846154,0.27539232035345107,0.08938952687459117,0.04591950426537512,0.029885057471264367,0.0015650715890160455,0.0019095857541207954,0.002126123870913908,0.0021697503285356573,8.65312669452377,10.313146432733632,13.118535956691435,12.569606733673641,0.7885057471264367,0.9172413793103448,0.967816091954023,0.9770114942528736,0.47132024624164437,0.49330227140361105,0.6331767256956992,0.6035362741523881,0.4457831325301205,0.3684210526315789,0.48148148148148145,0.4444444444444444
language,sighted,shape,0.738,0.125,0.203,0.43093841623328094,0.22473328748774737,0.17660431427533918,0.0716114874039433,0.2667261130727553,0.10229239292545741,0.052067823691522415,0.032101701250043545,0.0018198885034374501,0.0017714258261226148,0.001990137040167984,0.002153627409275447,3.84931366637532,2.9091425860398528,2.791612484011085,0.8513720611392265,0.6942528735632184,0.8367816091954023,0.9126436781609195,0.9402298850574713,0.22270290604721144,0.13305263157894712,0.12926675094816753,0.04071246819338506,0.273224043715847,0.12345679012345678,0.09523809523809523,0.037037037037037035
language,blind,shape,0.258,0.085,0.207,0.347209374356466,0.3537064108950036,0.2939723678960656,0.1432229748078866,0.25159551639696,0.1104884123282567,0.05473968229788808,0.032101701250043545,0.0014136738224676815,0.0018180715157103816,0.0020148181701887605,0.002153627409275447,2.542999261294566,5.7041406950996105,5.329697818599748,2.394483921954074,0.671264367816092,0.8551724137931035,0.9218390804597701,0.9448275862068966,0.12766971910978991,0.2706586826347303,0.2509875417806134,0.1145038167938939,0.20994475138121546,0.2125,0.17073170731707318,0.07692307692307693
