animal1,animal2,language_similarity_simple_dist_shape
bat,bat,0
beaver,bat,1.1027782978084628
boar,bat,0.7921484666997319
cheetah,bat,0.983058550141233
crow,bat,0.7605945752920067
deer,bat,0.9605975398842235
dolphin,bat,1.1065360349348008
elephant,bat,0.8023061424500668
flamingo,bat,0.9158766558945265
giraffe,bat,0.9772600317645875
goat,bat,0.7226571859910212
gorilla,bat,0.8345067292987092
grizzly,bat,0.9417017658438078
hippo,bat,1.116523130292067
lion,bat,0.8427177820736202
llama,bat,1.1671816503396997
mammoth,bat,1.112994962273928
panda,bat,0.7569554861221042
panther,bat,0.8883347060046056
pig,bat,0.7913990116174334
pigeon,bat,1.1732078316056276
rhino,bat,0.8562275962077276
shark,bat,0.7690343254761636
sheep,bat,1.0840305462224753
skunk,bat,0.9800899154153088
sloth,bat,0.8225022560234855
swan,bat,1.1275956856202498
zebra,bat,1.1821476866337197
bat,beaver,1.1027782978084628
beaver,beaver,0
boar,beaver,1.142057647703022
cheetah,beaver,0.9975359375048254
crow,beaver,0.9143356801955096
deer,beaver,0.6779537602627117
dolphin,beaver,0.9466810598405124
elephant,beaver,1.2888520413098161
flamingo,beaver,0.9794853799004116
giraffe,beaver,1.261742743432885
goat,beaver,1.0414304110764432
gorilla,beaver,0.9239351423864424
grizzly,beaver,0.7819354075581819
hippo,beaver,0.9755898202766656
lion,beaver,1.04795225029521
llama,beaver,0.8759099265110908
mammoth,beaver,0.8501908519030266
panda,beaver,0.7576945693844499
panther,beaver,0.8072917101848047
pig,beaver,1.0436511878757262
pigeon,beaver,0.8460862067912257
rhino,beaver,0.9407261243254935
shark,beaver,1.1003617334099904
sheep,beaver,0.8295511143562944
skunk,beaver,0.8531136153559921
sloth,beaver,1.086995439595324
swan,beaver,0.8345492926536522
zebra,beaver,0.8689106954940312
bat,boar,0.7921484666997319
beaver,boar,1.142057647703022
boar,boar,0
cheetah,boar,1.0013108822287773
crow,boar,0.9796349434339277
deer,boar,0.7496078535147292
dolphin,boar,1.0374504398162405
elephant,boar,0.7738290304625569
flamingo,boar,1.113657775523218
giraffe,boar,0.9263981208904911
goat,boar,0.6187487697811663
gorilla,boar,0.8743196339026795
grizzly,boar,1.0412846604231067
hippo,boar,1.0119298385465558
lion,boar,0.682326766123268
llama,boar,1.0549509182414474
mammoth,boar,1.1529025679454954
panda,boar,0.9376498872241492
panther,boar,1.0589919456734127
pig,boar,0.8537049026087536
pigeon,boar,1.096496166066995
rhino,boar,1.044913971222635
shark,boar,0.9862955879681564
sheep,boar,0.8197699796614181
skunk,boar,1.0359696663688152
sloth,boar,0.7312658522031186
swan,boar,1.1568370950319076
zebra,boar,1.1014630319525665
bat,cheetah,0.983058550141233
beaver,cheetah,0.9975359375048254
boar,cheetah,1.0013108822287773
cheetah,cheetah,0
crow,cheetah,0.9199079138911715
deer,cheetah,0.881676659789536
dolphin,cheetah,0.8527715856364603
elephant,cheetah,0.9465959451771265
flamingo,cheetah,0.9022947859887297
giraffe,cheetah,0.787196084022947
goat,cheetah,1.012114521804252
gorilla,cheetah,0.7282010319650072
grizzly,cheetah,0.6986728867519831
hippo,cheetah,1.0031063039259998
lion,cheetah,0.8527844850640691
llama,cheetah,0.904017775786007
mammoth,cheetah,0.9100392075761757
panda,cheetah,0.7416031714775511
panther,cheetah,0.8214459654904391
pig,cheetah,1.0085044754164143
pigeon,cheetah,0.9511570467098849
rhino,cheetah,1.0014737513565317
shark,cheetah,0.8522849791530641
sheep,cheetah,1.0372908784010642
skunk,cheetah,0.8329158662677908
sloth,cheetah,0.9372992961415196
swan,cheetah,1.0578111668949899
zebra,cheetah,0.6942502982584283
bat,crow,0.7605945752920067
beaver,crow,0.9143356801955096
boar,crow,0.9796349434339277
cheetah,crow,0.9199079138911715
crow,crow,0
deer,crow,0.9312522365705264
dolphin,crow,1.1679374180194453
elephant,crow,0.7603354716552198
flamingo,crow,0.5076969212447282
giraffe,crow,0.8881242073821142
goat,crow,0.8217687321614462
gorilla,crow,0.7269799042728724
grizzly,crow,0.7027019328846777
hippo,crow,1.1682034835628785
lion,crow,0.9178790297948843
llama,crow,1.169137300951087
mammoth,crow,0.8526711688900493
panda,crow,0.765892484089899
panther,crow,0.8620391114012447
pig,crow,0.7566941475989296
pigeon,crow,0.9685380673845271
rhino,crow,0.8517146433390872
shark,crow,0.7101030966371578
sheep,crow,1.1119757745676075
skunk,crow,0.8815784014878243
sloth,crow,0.8550538437398902
swan,crow,0.8894087786412432
zebra,crow,1.0685313201241446
bat,deer,0.9605975398842235
beaver,deer,0.6779537602627117
boar,deer,0.7496078535147292
cheetah,deer,0.881676659789536
crow,deer,0.9312522365705264
deer,deer,0
dolphin,deer,0.8767811739312257
elephant,deer,1.0591903909377023
flamingo,deer,1.0339608239365623
giraffe,deer,1.011011791268237
goat,deer,0.8652192660556618
gorilla,deer,0.8967095711830484
grizzly,deer,0.8304671797100304
hippo,deer,0.8777520767259375
lion,deer,0.7115824326736271
llama,deer,0.8628363150322803
mammoth,deer,0.9377306098367274
panda,deer,0.8043209240990641
panther,deer,0.8791938253230636
pig,deer,1.0240875395236844
pigeon,deer,0.851362492456573
rhino,deer,1.0089145431159967
shark,deer,1.0788401956054599
sheep,deer,0.6500273636760757
skunk,deer,0.9051392319127002
sloth,deer,0.9723064728337072
swan,deer,0.9286752081985565
zebra,deer,0.872449822899646
bat,dolphin,1.1065360349348008
beaver,dolphin,0.9466810598405124
