C1,C2,S1,S2,Category,V1,V2,S_01,S_02,S_03,S_04,S_05,S_07,S_08,S_09,S_10,S_11,S_12,S_13,S_14,S_16,S_17,S_18,S_19,S_20,S_21,S_22,S_23,S_24,CB_06,CB_08,CB_09,CB_14,CB_15,CB_18,CB_19,CB_22,CB_23,CB_24,CB_25,CB_26,CB_27,CB_28,CB_29,CB_30,CB_31,CB_32,CB_33,CB_34,CB_35,CB_37,CB_38,CB_40,CB_41,AMT_av
Sound,Sound,Sanim,Sinanim,Emission,bark,beep,1,3,4,4,4,5,2,1,3,1,2,,4,2,2,1,2,5,4,1,1,1,1,1,1,1,1,5,4,1,1,2,1,1,1,3,5,4,1,1,1,1,2,1,2,1,2,2.351351351
Sound,Sound,Sanim,Sanim,Emission,bark,bellow,1,5,5,6,5,3,1,3,5,5,7,,4,2,2,2,5,5,5,4,4,1,5,6,2,3,6,5,5,3,3,4,3,5,3,5,6,6,1,4,4,7,4,4,3,1,5,4.705882353
Sound,Light,Sanim,Light,Emission,bark,blaze,1,1,1,2,2,4,2,1,1,1,1,,2,1,1,1,2,1,1,3,1,3,2,1,2,1,3,3,2,1,1,1,1,2,1,3,2,1,1,1,1,6,1,1,1,1,5,2.184210526
Sound,Light,Sanim,Light,Emission,bark,blink,1,1,4,1,3,6,1,1,1,1,1,,2,1,1,1,1,1,2,2,1,1,1,1,1,1,1,3,3,1,1,1,1,1,1,2,1,1,1,1,1,7,1,1,1,1,2,1.657894737
Sound,Sound,Sanim,Sinanim,Emission,bark,boom,2,3,4,4,4,4,1,2,6,1,5,,5,1,5,1,4,4,4,3,1,2,4,2,3,3,5,5,4,1,1,1,1,1,1,,3,4,1,1,1,6,1,4,3,1,5,4.228571429
Sound,Sound,Sanim,Sinanim,Emission,bark,buzz,1,2,3,4,3,2,1,3,4,1,6,,4,2,2,1,2,4,1,2,6,1,1,1,2,2,3,5,3,1,1,2,1,1,1,3,3,4,1,3,1,7,3,1,3,1,2,2.6
Sound,Sound,Sanim,Sinanim,Emission,bark,chime,2,3,4,2,3,1,2,2,1,1,1,,3,1,1,1,3,2,1,2,3,1,2,2,1,1,2,4,1,1,1,1,1,1,1,3,3,4,1,1,1,1,1,1,1,1,2,2.289473684
Sound,Sound,Sanim,Sinanim,Emission,bark,clang,1,3,4,3,2,6,2,3,1,1,2,,4,1,6,1,2,4,2,2,1,1,2,2,1,1,2,5,2,1,1,1,2,1,1,3,7,4,1,1,1,4,1,2,3,1,5,2.783783784
Sound,Sound,Sanim,Sinanim,Emission,bark,clank,1,4,4,2,3,5,2,1,1,3,4,,4,1,1,1,2,3,4,2,1,1,3,5,1,1,1,4,2,1,1,1,1,1,1,2,1,4,1,2,1,7,1,1,1,1,3,2.243243243
Sound,Sound,Sanim,Sinanim,Emission,bark,click,1,3,4,3,1,4,2,1,1,1,1,,3,1,1,1,2,4,3,2,1,1,2,1,1,2,3,4,4,1,1,1,1,1,1,3,1,4,1,2,1,1,1,1,3,1,1,1.921052632
Sound,Sound,Sanim,Sinanim,Emission,bark,crackle,1,3,3,2,4,4,2,2,1,1,2,,4,1,2,1,2,1,2,2,1,1,2,1,2,1,2,3,3,1,1,1,2,1,1,3,4,4,1,2,1,1,1,1,2,1,1,2.394736842
Sound,Sound,Sanim,Sinanim,Emission,bark,creak,1,4,4,4,1,3,2,2,1,1,5,,4,2,1,2,2,3,2,2,1,1,2,1,2,1,2,4,1,1,1,1,1,1,1,3,1,4,1,1,1,1,2,1,2,1,3,2.444444444
Sound,Sound,Sanim,Sinanim,Emission,bark,crunch,1,3,3,3,2,4,1,2,1,1,2,,3,1,1,1,2,2,3,3,1,1,2,1,1,1,1,5,1,1,1,1,1,1,1,2,2,4,1,1,1,1,1,1,3,1,3,1.828571429
Sound,Light,Sanim,Light,Emission,bark,flare,1,1,4,4,5,4,3,1,1,1,1,,3,1,2,1,1,1,3,3,1,3,2,1,1,1,1,4,3,1,1,1,1,1,1,4,1,1,1,1,1,6,1,1,1,1,3,2.166666667
Sound,Light,Sanim,Light,Emission,bark,flash,1,1,4,4,1,7,3,2,1,1,1,,2,1,1,1,4,3,3,3,1,1,1,1,2,1,1,3,1,1,1,1,1,1,1,3,1,1,1,1,1,7,1,1,1,1,6,2.088235294
Sound,Light,Sanim,Light,Emission,bark,flicker,1,1,2,1,1,2,3,3,1,1,1,,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,3,2,1,1,1,1,1,1,1,1,1,1,1.868421053
Sound,Light,Sanim,Light,Emission,bark,gleam,1,1,1,3,2,2,1,2,1,1,1,,3,1,1,1,1,1,2,2,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,4,1,1,1,1,2,1,1,1,1,1,1,1.864864865
Sound,Light,Sanim,Light,Emission,bark,glimmer,1,1,1,3,4,1,1,1,1,1,1,,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,3,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1.8
Sound,Light,Sanim,Light,Emission,bark,glint,1,1,2,3,2,4,2,1,1,1,1,,2,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,3,1,1,1,1,1,5,1,1,2,1,3,1.763157895
Sound,Light,Sanim,Light,Emission,bark,glisten,1,1,1,3,5,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1.567567568
Sound,Light,Sanim,Light,Emission,bark,glitter,1,1,1,2,1,3,2,1,1,1,1,,2,1,1,1,1,1,2,2,1,1,2,1,2,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1.763157895
Sound,Light,Sanim,Light,Emission,bark,glow,1,1,1,3,4,1,1,1,1,1,1,,2,1,1,1,1,1,2,2,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,2.027027027
Sound,Sound,Sanim,Sanim,Emission,bark,groan,1,3,4,5,5,1,4,1,2,1,5,,5,2,1,2,2,4,3,1,1,1,3,3,2,2,5,4,3,2,2,3,1,1,1,4,1,6,1,3,1,1,4,4,3,1,3,3.235294118
Sound,Sound,Sanim,Sanim,Emission,bark,growl,6,4,5,4,6,3,4,6,6,5,5,,5,3,1,5,3,5,3,2,7,2,4,6,5,4,7,6,5,4,4,5,2,6,3,5,7,7,2,4,4,3,5,7,4,1,5,4.594594595
